Const,Title,imdb_genres
tt3488710,The Walk,"Adventure, Biography, Drama"
tt9098872,The Rescue,"Documentary, Action, Mystery"
tt0097958,National Lampoon's Christmas Vacation,Comedy
tt1878870,The Edge of Seventeen,"Comedy, Drama, Romance"
tt0103874,Dracula,"Fantasy, Horror, Romance"
tt8368512,The Courier,"Drama, History, Mystery"
tt7740496,Nightmare Alley,"Crime, Drama, Thriller"
tt16116174,Harry Potter 20th Anniversary: Return to Hogwarts,"Documentary, Family"
tt11337862,Friends: The Reunion,"Documentary, Biography, Comedy"
tt0289879,The Butterfly Effect,"Drama, Sci-Fi, Thriller"
tt3498820,Captain America: Civil War,"Action, Sci-Fi"
tt1302006,The Irishman,"Biography, Crime, Drama"
tt0112384,Apollo 13,"Adventure, Drama, History"
tt1631867,Edge of Tomorrow,"Action, Adventure, Sci-Fi"
tt1562872,Zindagi Na Milegi Dobara,"Comedy, Drama, Musical"
tt2582802,Whiplash,"Drama, Music"
tt1518542,Sarabhai V/S Sarabhai,Comedy
tt2381249,Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller"
tt1229238,Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller"
tt0976026,Cheeni Kum,"Comedy, Drama, Romance"
tt0870154,Jungle Cruise,"Action, Adventure, Comedy"
tt0338013,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi"
tt11540284,8-Bit Christmas,"Comedy, Family"
tt0066327,Santa Claus Is Comin' to Town,"Animation, Adventure, Comedy"
tt10160804,Hawkeye,"Action, Adventure, Crime"
tt10872600,Spider-Man: No Way Home,"Action, Adventure, Fantasy"
tt14315756,Single All the Way,"Comedy, Drama, Romance"
tt0319343,Elf,"Adventure, Comedy, Family"
tt10187208,A Boy Called Christmas,"Adventure, Drama, Family"
tt7991608,Red Notice,"Action, Comedy, Thriller"
tt0338348,The Polar Express,"Animation, Adventure, Family"
tt8721424,"tick, tick... BOOM!","Biography, Comedy, Drama"
tt9620288,King Richard,"Biography, Drama, Sport"
tt3480822,Black Widow,"Action, Adventure, Sci-Fi"
tt2097298,"McFarland, USA","Biography, Drama, Sport"
tt0993840,Army of the Dead,"Action, Adventure, Crime"
tt1070874,The Trial of the Chicago 7,"Drama, History, Thriller"
tt13024674,Army of Thieves,"Action, Comedy, Crime"
tt0067992,Willy Wonka & the Chocolate Factory,"Adventure, Comedy, Family"
tt0338094,The Haunted Mansion,"Comedy, Family, Fantasy"
tt1385826,The Adjustment Bureau,"Crime, Drama, Mystery"
tt5606664,Doctor Sleep,"Drama, Fantasy, Horror"
tt7668870,Searching,"Drama, Mystery, Thriller"
tt0454848,Inside Man,"Crime, Drama, Mystery"
tt2382320,No Time to Die,"Action, Adventure, Thriller"
tt9376612,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy"
tt0415306,Talladega Nights: The Ballad of Ricky Bobby,"Comedy, Sport"
tt11852724,Stanley Tucci: Searching for Italy,"Documentary, Adventure"
tt9484998,Palm Springs,"Comedy, Fantasy, Mystery"
tt3495030,Dum Laga Ke Haisha,"Comedy, Drama, Romance"
tt3228774,Cruella,"Adventure, Comedy, Crime"
tt6264654,Free Guy,"Action, Adventure, Comedy"
tt10168312,What If...?,"Animation, Action, Adventure"
tt0106977,The Fugitive,"Action, Crime, Drama"
tt2397535,Predestination,"Action, Drama, Sci-Fi"
tt3896198,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy"
tt0103064,Terminator 2: Judgment Day,"Action, Adventure, Sci-Fi"
tt2452244,Isn't It Romantic,"Comedy, Fantasy, Musical"
tt9777666,The Tomorrow War,"Action, Adventure, Drama"
tt8510382,High School Musical: The Musical: The Series,"Comedy, Drama, Musical"
tt1392214,Prisoners,"Crime, Drama, Mystery"
tt1321510,In the Heights,"Drama, Musical, Romance"
tt5109280,Raya and the Last Dragon,"Animation, Action, Adventure"
tt0258463,The Bourne Identity,"Action, Mystery, Thriller"
tt0107798,The Pelican Brief,"Crime, Drama, Mystery"
tt0118884,Contact,"Drama, Mystery, Sci-Fi"
tt9331982,The Imagineering Story,"Documentary, Adventure"
tt0107290,Jurassic Park,"Action, Adventure, Sci-Fi"
tt8760280,Finding You,"Comedy, Drama, Romance"
tt2235695,Rebecca,"Drama, Mystery, Romance"
tt7737786,Greenland,"Action, Adventure, Thriller"
tt1189340,The Lincoln Lawyer,"Crime, Drama, Mystery"
tt1453405,Monsters University,"Animation, Adventure, Comedy"
tt0198781,"Monsters, Inc.","Animation, Adventure, Comedy"
tt7979580,The Mitchells vs. the Machines,"Animation, Adventure, Comedy"
tt0042332,Cinderella,"Animation, Family, Fantasy"
tt0096754,The Abyss,"Adventure, Drama, Mystery"
tt10288566,Another Round,"Comedy, Drama"
tt9208876,The Falcon and the Winter Soldier,"Action, Adventure, Drama"
tt0758766,Music and Lyrics,"Comedy, Music, Romance"
tt9664108,Voyagers,"Adventure, Mystery, Sci-Fi"
tt3741700,Godzilla: King of the Monsters,"Action, Adventure, Fantasy"
tt2975590,Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi"
tt10986410,Ted Lasso,"Comedy, Drama, Sport"
tt12361974,Zack Snyder's Justice League,"Action, Adventure, Fantasy"
tt1083452,Eddie the Eagle,"Adventure, Biography, Comedy"
tt8637428,The Farewell,"Comedy, Drama"
tt9140560,WandaVision,"Action, Comedy, Drama"
tt1086064,Bill & Ted Face the Music,"Adventure, Comedy, Music"
tt12688688,Tiger,"Documentary, Biography, Sport"
tt11169050,Supernova,"Drama, Romance"
tt0352248,Cinderella Man,"Biography, Drama, Romance"
tt10016180,The Little Things,"Crime, Drama, Mystery"
tt0116209,The English Patient,"Drama, Romance, War"
tt3661210,The Dig,"Biography, Drama, History"
tt3731562,Kong: Skull Island,"Action, Adventure, Fantasy"
tt2584384,Jojo Rabbit,"Comedy, Drama, War"
tt0062622,2001: A Space Odyssey,"Adventure, Sci-Fi"
tt12873192,India from Above,Documentary
tt1327773,The Butler,"Biography, Drama"
tt0138524,Intolerable Cruelty,"Comedy, Crime, Romance"
tt0974015,Justice League,"Action, Adventure, Fantasy"
tt9606374,On the Rocks,"Comedy, Drama, Romance"
tt4779682,The Meg,"Action, Adventure, Horror"
tt1677720,Ready Player One,"Action, Adventure, Sci-Fi"
tt0039628,Miracle on 34th Street,"Comedy, Drama, Family"
tt9308382,The High Note,"Drama, Music, Romance"
tt10199914,The Boys in the Band,Drama
tt1907668,Flight,"Drama, Thriller"
tt1049413,Up,"Animation, Adventure, Comedy"
tt2948372,Soul,"Animation, Adventure, Comedy"
tt1375666,Inception,"Action, Adventure, Sci-Fi"
tt6723592,Tenet,"Action, Sci-Fi, Thriller"
tt11057644,The Christmas Chronicles: Part Two,"Adventure, Comedy, Family"
tt0099785,Home Alone,"Comedy, Family"
tt8522006,Happiest Season,"Comedy, Romance"
tt0457939,The Holiday,"Comedy, Romance"
tt0286788,What a Girl Wants,"Comedy, Drama, Family"
tt5097410,Noelle,"Comedy, Family, Fantasy"
tt2990140,The Christmas Chronicles,"Adventure, Comedy, Family"
tt9866072,Holidate,"Comedy, Romance"
tt11015214,Class Action Park,"Documentary, Crime"
tt0087332,Ghostbusters,"Action, Comedy, Fantasy"
tt5052448,Get Out,"Horror, Mystery, Thriller"
tt1259521,The Cabin in the Woods,"Horror, Mystery, Thriller"
tt13143964,Borat Subsequent Moviefilm,Comedy
tt0443453,Borat,Comedy
tt1409024,Men in Black³,"Action, Adventure, Comedy"
tt6473066,Clouds,"Biography, Drama, Music"
tt0094006,Some Kind of Wonderful,"Drama, Romance"
tt1051906,The Invisible Man,"Drama, Horror, Mystery"
tt8688634,21 Bridges,"Action, Adventure, Crime"
tt7846844,Enola Holmes,"Adventure, Crime, Drama"
tt0047396,Rear Window,"Drama, Mystery, Thriller"
tt0167261,The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy"
tt4955642,The Good Place,"Comedy, Drama, Fantasy"
tt0051201,Witness for the Prosecution,"Crime, Drama, Mystery"
tt7798634,Ready or Not,"Action, Comedy, Horror"
tt8206668,Bad Education,"Biography, Comedy, Crime"
tt4566758,Mulan,"Action, Adventure, Drama"
tt6394270,Bombshell,"Biography, Drama"
tt8544498,The Way Back,"Drama, Sport"
tt2980648,The Hundred-Foot Journey,"Comedy, Drama"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy"
tt0795421,Mamma Mia!,"Comedy, Musical, Romance"
tt0126029,Shrek,"Animation, Adventure, Comedy"
tt0317219,Cars,"Animation, Adventure, Comedy"
tt8503618,Hamilton,"Biography, Drama, History"
tt0878804,The Blind Side,"Biography, Drama, Sport"
tt9243946,El Camino,"Crime, Drama, Thriller"
tt0119978,The Rainmaker,"Crime, Drama, Thriller"
tt3829868,Looking for Alaska,"Drama, Romance"
tt1454029,The Help,Drama
tt8760684,Apollo 11,"Documentary, History"
tt0120647,Deep Impact,"Action, Drama, Sci-Fi"
tt9612516,Space Force,Comedy
tt0448115,Shazam!,"Action, Adventure, Comedy"
tt1190634,The Boys,"Action, Comedy, Crime"
tt0119282,Hercules,"Animation, Action, Adventure"
tt5580266,The Hate U Give,"Crime, Drama"
tt8079248,Yesterday,"Comedy, Fantasy, Music"
tt7349662,BlacKkKlansman,"Biography, Comedy, Crime"
tt0257044,Road to Perdition,"Crime, Drama, Thriller"
tt5503686,Hustlers,"Comedy, Crime, Drama"
tt8404614,The Two Popes,"Biography, Drama"
tt0096928,Bill & Ted's Excellent Adventure,"Adventure, Comedy, Music"
tt0117887,That Thing You Do!,"Comedy, Drama, Music"
tt1598778,Contagion,"Drama, Thriller"
tt1981128,Geostorm,"Action, Sci-Fi, Thriller"
tt0147800,10 Things I Hate About You,"Comedy, Drama, Romance"
tt1135503,Julie & Julia,"Biography, Drama, Romance"
tt7775622,Free Solo,"Documentary, Adventure, Sport"
tt3881784,Stronger,"Biography, Drama"
tt2503944,Burnt,"Comedy, Drama"
tt1401152,Unknown,"Action, Mystery, Thriller"
tt1821694,RED 2,"Action, Comedy, Crime"
tt1981115,Thor: The Dark World,"Action, Adventure, Fantasy"
tt0311429,The League of Extraordinary Gentlemen,"Action, Adventure, Fantasy"
tt0338526,Van Helsing,"Action, Adventure, Fantasy"
tt4364194,The Peanut Butter Falcon,"Adventure, Comedy, Drama"
tt7366338,Chernobyl,"Drama, History, Thriller"
tt5687612,Fleabag,"Comedy, Drama"
tt2948356,Zootopia,"Animation, Action, Adventure"
tt1772341,Wreck-It Ralph,"Animation, Adventure, Comedy"
tt0088847,The Breakfast Club,"Comedy, Drama"
tt6266538,Vice,"Biography, Comedy, Drama"
tt4209788,Molly's Game,"Biography, Crime, Drama"
tt0210945,Remember the Titans,"Biography, Comedy, Drama"
tt4912910,Mission: Impossible - Fallout,"Action, Adventure, Thriller"
tt6320628,Spider-Man: Far from Home,"Action, Adventure, Comedy"
tt6285944,The Banker,"Biography, Drama"
tt0091042,Ferris Bueller's Day Off,Comedy
tt0454921,The Pursuit of Happyness,"Biography, Drama"
tt0114709,Toy Story,"Animation, Adventure, Comedy"
tt0109830,Forrest Gump,"Drama, Romance"
tt0103241,What About Bob?,Comedy
tt2096673,Inside Out,"Animation, Adventure, Comedy"
tt6450804,Terminator: Dark Fate,"Action, Adventure, Sci-Fi"
tt0398286,Tangled,"Animation, Adventure, Comedy"
tt7767422,Sex Education,"Comedy, Drama, Romance"
tt1675434,The Intouchables,"Comedy, Drama"
tt1489887,Booksmart,Comedy
tt0332379,School of Rock,"Comedy, Music"
tt5884052,Pokémon: Detective Pikachu,"Adventure, Comedy, Family"
tt0910970,WALL·E,"Animation, Adventure, Family"
tt0097757,The Little Mermaid,"Animation, Adventure, Family"
tt7146812,Onward,"Animation, Adventure, Comedy"
tt1285241,Don 2,"Action, Crime, Thriller"
tt0461936,Don,"Action, Crime, Thriller"
tt8367814,The Gentlemen,"Action, Comedy, Crime"
tt4916630,Just Mercy,"Biography, Crime, Drama"
tt8579674,1917.0,"Action, Drama, War"
tt6751668,Parasite,"Drama, Thriller"
tt0458339,Captain America: The First Avenger,"Action, Adventure, Sci-Fi"
tt7653254,Marriage Story,"Drama, Romance"
tt0810900,High School Musical 2,"Comedy, Drama, Family"
tt8111088,The Mandalorian,"Action, Adventure, Fantasy"
tt1255919,Holmes & Watson,"Comedy, Crime, Mystery"
tt0309698,Identity,"Mystery, Thriller"
tt0120762,Mulan,"Animation, Adventure, Comedy"
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,"Action, Adventure, Fantasy"
tt3281548,Little Women,"Drama, Romance"
tt4520988,Frozen II,"Animation, Adventure, Comedy"
tt2283336,Men in Black: International,"Action, Adventure, Comedy"
tt0120912,Men in Black II,"Action, Adventure, Comedy"
tt0119654,Men in Black,"Action, Adventure, Comedy"
tt2709692,The Grinch,"Animation, Comedy, Family"
tt3224458,A Beautiful Day in the Neighborhood,"Biography, Drama, Family"
tt7131622,Once Upon a Time... in Hollywood,"Comedy, Drama"
tt0430634,Stick It,"Comedy, Drama, Sport"
tt2294629,Frozen,"Animation, Adventure, Comedy"
tt0107688,The Nightmare Before Christmas,"Animation, Adventure, Family"
tt4729430,Klaus,"Animation, Adventure, Comedy"
tt3920596,Big Little Lies,"Crime, Drama, Mystery"
tt0093748,"Planes, Trains & Automobiles","Comedy, Drama"
tt8262802,The Holiday Calendar,"Drama, Fantasy, Romance"
tt8623904,Last Christmas,"Comedy, Drama, Fantasy"
tt0081505,The Shining,"Drama, Horror"
tt0094137,Three Men and a Baby,"Comedy, Drama, Family"
tt0481141,No Reservations,"Comedy, Drama, Romance"
tt1454468,Gravity,"Drama, Sci-Fi, Thriller"
tt1560220,Zombieland: Double Tap,"Action, Comedy, Horror"
tt7286456,Joker,"Crime, Drama, Thriller"
tt3846674,To All the Boys I've Loved Before,"Comedy, Drama, Romance"
tt2066051,Rocketman,"Biography, Drama, Music"
tt9358228,Untouchable,"Documentary, Biography, Crime"
tt8130968,Badla,"Crime, Drama, Mystery"
tt0852713,The House Bunny,Comedy
tt0093010,Fatal Attraction,"Drama, Thriller"
tt6806448,Fast & Furious Presents: Hobbs & Shaw,"Action, Adventure, Thriller"
tt6105098,The Lion King,"Animation, Adventure, Drama"
tt2883512,Chef,"Adventure, Comedy, Drama"
tt1979376,Toy Story 4,"Animation, Adventure, Comedy"
tt0383216,The Pink Panther,"Adventure, Comedy, Crime"
tt1411238,No Strings Attached,"Comedy, Romance"
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Drama, Fantasy"
tt1324999,The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Drama, Fantasy"
tt2085059,Black Mirror,"Crime, Drama, Mystery"
tt6628394,Bad Times at the El Royale,"Crime, Drama, Mystery"
tt0361748,Inglourious Basterds,"Adventure, Drama, War"
tt6139732,Aladdin,"Adventure, Comedy, Family"
tt0944947,Game of Thrones,"Action, Adventure, Drama"
tt2798920,Annihilation,"Adventure, Drama, Horror"
tt1219289,Limitless,"Sci-Fi, Thriller"
tt0280707,Gosford Park,"Comedy, Drama, Mystery"
tt4881806,Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi"
tt3460252,The Hateful Eight,"Crime, Drama, Mystery"
tt0063404,Padosan,"Comedy, Musical, Romance"
tt0988045,Sherlock Holmes,"Action, Adventure, Mystery"
tt1515091,Sherlock Holmes: A Game of Shadows,"Action, Adventure, Mystery"
tt2481498,"Extremely Wicked, Shockingly Evil and Vile","Biography, Crime, Drama"
tt1051904,Goosebumps,"Adventure, Comedy, Family"
tt3209826,Patel Ki Punjabi Shaadi,Comedy
tt1259571,The Twilight Saga: New Moon,"Adventure, Drama, Fantasy"
tt3159708,Welcome Back,"Action, Comedy, Crime"
tt0357413,Anchorman: The Legend of Ron Burgundy,Comedy
tt0290095,The Tuxedo,"Action, Comedy, Sci-Fi"
tt2194499,About Time,"Comedy, Drama, Fantasy"
tt0280720,The Guru,"Comedy, Music, Romance"
tt1279935,Date Night,"Comedy, Crime, Romance"
tt5712554,The Grand Tour,"Adventure, Comedy, Sport"
tt3045616,Mortdecai,"Action, Adventure, Comedy"
tt2084970,The Imitation Game,"Biography, Drama, Thriller"
tt3315342,Logan,"Action, Drama, Sci-Fi"
tt7098658,Raazi,"Action, Drama, Thriller"
tt0375912,Layer Cake,"Crime, Drama, Thriller"
tt0044079,Strangers on a Train,"Crime, Drama, Film-Noir"
tt0099088,Back to the Future Part III,"Adventure, Comedy, Sci-Fi"
tt0115685,The Birdcage,Comedy
tt0414982,Final Destination 3,"Horror, Thriller"
tt0195714,Final Destination,"Horror, Thriller"
tt0371724,The Hitchhiker's Guide to the Galaxy,"Adventure, Comedy, Sci-Fi"
tt3083008,The Program,"Biography, Drama, Sport"
tt6921996,Johnny English Strikes Again,"Action, Adventure, Comedy"
tt0167190,Hellboy,"Action, Adventure, Fantasy"
tt0114069,Outbreak,"Action, Drama, Thriller"
tt7493974,Bodyguard,"Crime, Drama, Mystery"
tt6077448,Sacred Games,"Action, Crime, Drama"
tt0118541,8 Heads in a Duffel Bag,"Adventure, Comedy, Crime"
tt0331632,Scooby-Doo 2: Monsters Unleashed,"Adventure, Comedy, Family"
tt7778680,Photograph,"Drama, Romance"
tt0276751,About a Boy,"Comedy, Drama, Romance"
tt0095031,Dirty Rotten Scoundrels,"Comedy, Crime"
tt3778644,Solo: A Star Wars Story,"Action, Adventure, Sci-Fi"
tt0111503,True Lies,"Action, Comedy, Thriller"
tt2854926,Tag,"Action, Comedy"
tt8108198,Andhadhun,"Crime, Mystery, Thriller"
tt1714832,Do Dooni Chaar,"Comedy, Crime, Drama"
tt0452623,Gone Baby Gone,"Crime, Drama, Mystery"
tt6452574,Sanju,"Biography, Comedy, Drama"
tt0437238,Hulchul,"Action, Comedy, Drama"
tt1477834,Aquaman,"Action, Adventure, Fantasy"
tt1638355,The Man from U.N.C.L.E.,"Action, Adventure, Comedy"
tt0381061,Casino Royale,"Action, Adventure, Thriller"
tt0240772,Ocean's Eleven,"Crime, Thriller"
tt0438488,Terminator Salvation,"Action, Adventure, Sci-Fi"
tt0313911,Agent Cody Banks,"Action, Adventure, Comedy"
tt0358349,Agent Cody Banks 2: Destination London,"Action, Adventure, Comedy"
tt0327437,Around the World in 80 Days,"Action, Adventure, Comedy"
tt4555426,Darkest Hour,"Biography, Drama, History"
tt0259711,Vanilla Sky,"Fantasy, Mystery, Romance"
tt2388771,Mowgli: Legend of the Jungle,"Adventure, Drama, Fantasy"
tt6966692,Green Book,"Biography, Comedy, Drama"
tt0078788,Apocalypse Now,"Drama, Mystery, War"
tt0119217,Good Will Hunting,"Drama, Romance"
tt0088247,The Terminator,"Action, Adventure, Sci-Fi"
tt0337978,Live Free or Die Hard,"Action, Thriller"
tt1632701,Suits,"Comedy, Drama"
tt1727824,Bohemian Rhapsody,"Biography, Drama, Music"
tt0216216,The 6th Day,"Action, Mystery, Sci-Fi"
tt2788432,American Crime Story,"Biography, Crime, Drama"
tt0477348,No Country for Old Men,"Crime, Drama, Thriller"
tt1213641,First Man,"Biography, Drama, History"
tt0815236,She's Out of My League,"Comedy, Romance"
tt1517451,A Star Is Born,"Drama, Music, Romance"
tt0099810,The Hunt for Red October,"Action, Adventure, Thriller"
tt4430212,Drishyam,"Crime, Drama, Mystery"
tt5270948,Chappaquiddick,"Biography, Drama, History"
tt1270797,Venom,"Action, Adventure, Sci-Fi"
tt5607096,"Juliet, Naked","Comedy, Drama, Music"
tt5074352,Dangal,"Action, Biography, Drama"
tt0116695,Jerry Maguire,"Comedy, Drama, Romance"
tt5208252,Operation Finale,"Biography, Drama, History"
tt5463162,Deadpool 2,"Action, Adventure, Comedy"
tt3104988,Crazy Rich Asians,"Comedy, Drama, Romance"
tt0368933,The Princess Diaries 2: Royal Engagement,"Comedy, Family, Romance"
tt0466460,Khosla Ka Ghosla!,"Comedy, Crime, Drama"
tt0468569,The Dark Knight,"Action, Crime, Drama"
tt0470752,Ex Machina,"Drama, Sci-Fi, Thriller"
tt5783956,When We First Met,"Comedy, Fantasy, Romance"
tt0389860,Click,"Comedy, Drama, Fantasy"
tt5095030,Ant-Man and the Wasp,"Action, Adventure, Comedy"
tt3521126,The Disaster Artist,"Biography, Comedy, Drama"
tt1590193,The Commuter,"Action, Mystery, Thriller"
tt5286444,Neerja,"Biography, Drama, Thriller"
tt1632708,Friends with Benefits,"Comedy, Romance"
tt0800039,Forgetting Sarah Marshall,"Comedy, Drama, Romance"
tt5362988,Wind River,"Crime, Drama, Mystery"
tt0859163,The Mummy: Tomb of the Dragon Emperor,"Action, Adventure, Fantasy"
tt0780536,In Bruges,"Comedy, Crime, Drama"
tt7363076,Raid,"Crime, Drama, Thriller"
tt1605783,Midnight in Paris,"Comedy, Fantasy, Romance"
tt0032138,The Wizard of Oz,"Adventure, Family, Fantasy"
tt4169250,M.S. Dhoni: The Untold Story,"Biography, Drama, Sport"
tt1392190,Mad Max: Fury Road,"Action, Adventure, Sci-Fi"
tt0120382,The Truman Show,"Comedy, Drama"
tt0086190,Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy"
tt3647998,Taboo,"Drama, Mystery, Thriller"
tt2446042,Taken 3,"Action, Crime, Thriller"
tt2140379,Self/less,"Action, Mystery, Sci-Fi"
tt0343660,50 First Dates,"Comedy, Drama, Romance"
tt3385516,X-Men: Apocalypse,"Action, Adventure, Sci-Fi"
tt0103772,Basic Instinct,"Drama, Mystery, Romance"
tt0420304,Viruddh... Family Comes First,"Drama, Family"
tt0431308,P.S. I Love You,"Comedy, Drama, Romance"
tt0265343,Monsoon Wedding,"Comedy, Drama, Romance"
tt0898266,The Big Bang Theory,"Comedy, Romance"
tt0212985,Hannibal,"Crime, Drama, Thriller"
tt0432047,Sarkar,"Crime, Drama"
tt5580036,"I, Tonya","Biography, Comedy, Drama"
tt3606756,Incredibles 2,"Animation, Action, Adventure"
tt1182345,Moon,"Drama, Mystery, Sci-Fi"
tt0488120,Fracture,"Crime, Drama, Thriller"
tt0361862,The Machinist,"Drama, Thriller"
tt1934231,Delhi Belly,"Action, Comedy, Crime"
tt0796302,The Babysitters,Drama
tt4154756,Avengers: Infinity War,"Action, Adventure, Sci-Fi"
tt3322420,Queen,"Adventure, Comedy, Drama"
tt0322330,Freaky Friday,"Comedy, Family, Fantasy"
tt0118689,Bean,"Adventure, Comedy, Family"
tt0452694,The Time Traveler's Wife,"Drama, Fantasy, Romance"
tt1041829,The Proposal,"Comedy, Drama, Romance"
tt0251127,How to Lose a Guy in 10 Days,"Comedy, Romance"
tt1365519,Tomb Raider,"Action, Adventure, Fantasy"
tt1843866,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi"
tt5580390,The Shape of Water,"Drama, Fantasy, Romance"
tt2704998,Game Night,"Action, Adventure, Comedy"
tt0473367,Jaane Tu... Ya Jaane Na,"Comedy, Drama, Romance"
tt0117381,Primal Fear,"Crime, Drama, Mystery"
tt2675978,Dedh Ishqiya,"Comedy, Drama, Romance"
tt0315642,Wazir,"Action, Crime, Drama"
tt4786824,The Crown,"Biography, Drama, History"
tt1954470,Gangs of Wasseypur,"Action, Comedy, Crime"
tt1340800,Tinker Tailor Soldier Spy,"Drama, Mystery, Thriller"
tt3040964,The Jungle Book,"Animation, Action, Adventure"
tt1840417,The Words,"Drama, Mystery, Romance"
tt1825683,Black Panther,"Action, Adventure, Sci-Fi"
tt1931533,Seven Psychopaths,"Comedy, Crime"
tt2015381,Guardians of the Galaxy,"Action, Adventure, Comedy"
tt0478970,Ant-Man,"Action, Comedy, Sci-Fi"
tt0317919,Mission: Impossible III,"Action, Adventure, Thriller"
tt0450259,Blood Diamond,"Adventure, Drama, Thriller"
tt0121766,Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy"
tt3890160,Baby Driver,"Action, Crime, Drama"
tt1959563,The Hitman's Bodyguard,"Action, Comedy, Crime"
tt0071562,The Godfather Part II,"Crime, Drama"
tt0378194,Kill Bill: Vol. 2,"Action, Crime, Thriller"
tt0266697,Kill Bill: Vol. 1,"Action, Crime, Thriller"
tt0317740,The Italian Job,"Action, Crime, Thriller"
tt1772288,Danny Collins,"Comedy, Drama, Music"
tt0496806,Ocean's Thirteen,"Crime, Thriller"
tt0434409,V for Vendetta,"Action, Drama, Sci-Fi"
tt1485796,The Greatest Showman,"Biography, Drama, Musical"
tt5294550,All the Money in the World,"Biography, Crime, Drama"
tt6272828,Mubarakan,"Comedy, Romance"
tt0259446,My Big Fat Greek Wedding,"Comedy, Drama, Romance"
tt2283362,Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy"
tt2527336,Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy"
tt2488496,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi"
tt4574334,Stranger Things,"Drama, Fantasy, Horror"
tt5462602,The Big Sick,"Comedy, Drama, Romance"
tt2380307,Coco,"Animation, Adventure, Drama"
tt3682448,Bridge of Spies,"Drama, History, Thriller"
tt1386697,Suicide Squad,"Action, Adventure, Fantasy"
tt3531824,Nerve,"Adventure, Crime, Drama"
tt1954598,Ladies vs. Ricky Bahl,"Comedy, Crime, Drama"
tt3402236,Murder on the Orient Express,"Comedy, Crime, Drama"
tt3501632,Thor: Ragnarok,"Action, Adventure, Comedy"
tt0064757,On Her Majesty's Secret Service,"Action, Adventure, Thriller"
tt4276820,The Founder,"Biography, Drama"
tt1442550,Shark Tank,"Family, Game-Show, Reality-TV"
tt0287717,Spy Kids 2: Island of Lost Dreams,"Action, Adventure, Comedy"
tt3532216,American Made,"Action, Comedy, Crime"
tt0243155,Bridget Jones's Diary,"Comedy, Drama, Romance"
tt5816682,Victoria & Abdul,"Biography, Comedy, Drama"
tt4649466,Kingsman: The Golden Circle,"Action, Adventure, Comedy"
tt1937269,One Small Hitch,"Comedy, Romance"
tt6110504,Becoming Bond,"Documentary, Biography, Comedy"
tt0377092,Mean Girls,Comedy
tt2568862,Going in Style,"Comedy, Crime"
tt5439796,Logan Lucky,"Action, Comedy, Crime"
tt2406566,Atomic Blonde,"Action, Thriller"
tt2879552,11.22.63,"Drama, Mystery, Romance"
tt4116284,The Lego Batman Movie,"Animation, Action, Adventure"
tt2250912,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi"
tt5420376,Riverdale,"Crime, Drama, Mystery"
tt0920464,Manorama: Six Feet Under,"Crime, Drama, Mystery"
tt5442430,Life,"Horror, Sci-Fi, Thriller"
tt0451279,Wonder Woman,"Action, Adventure, Fantasy"
tt5982852,Jolly LLB 2,"Comedy, Crime, Drama"
tt2369135,Need for Speed,"Action, Crime, Drama"
tt0209163,The Mummy Returns,"Action, Adventure, Fantasy"
tt0076759,Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy"
tt0120915,Star Wars: Episode I - The Phantom Menace,"Action, Adventure, Fantasy"
tt0121765,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy"
tt1663202,The Revenant,"Adventure, Drama, Western"
tt3263904,Sully,"Biography, Drama, History"
tt4387040,Airlift,"Drama, History"
tt2621000,Jolly LLB,"Comedy, Crime, Drama"
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy"
tt0072783,Chupke Chupke,"Comedy, Drama, Romance"
tt0244590,Kissise Na Kehna,"Comedy, Romance"
tt0244585,Khubsoorat,"Comedy, Drama, Family"
tt5764096,Hindi Medium,"Comedy, Drama"
tt0918940,The Legend of Tarzan,"Action, Adventure, Drama"
tt2582782,Hell or High Water,"Crime, Drama, Thriller"
tt2241351,Money Monster,"Action, Crime, Drama"
tt1447508,Peepli [Live],"Comedy, Drama"
tt4630562,The Fate of the Furious,"Action, Crime, Thriller"
